ObservationID,ParcelleID,DateObservation,Temperature,Humidite,Pluviometrie_mm,NDVI,Capteur,StadeCulture,RendementEstime_t_ha,RendementMoyenZone_t_ha,AnomalieLabel
OBS000064,P0265,2025-07-16 10:57:28,25.3,46.9,-2.3,0.7789,Satellite,Tallage,7.32,6.21,0
OBS000065,P0299,2025-07-19 12:45:28,26.8,36.4,3.7,0.5283,Station_Sol,Floraison,5.2,6.23,0
OBS000066,P0286,2025-05-07 07:04:05,12.5,42.3,7.3,0.5315,Satellite,Levée,3.83,4.15,0
OBS000067,P0299,2025-04-28 08:35:02,13.9,41.8,0.1,0.8709,Manuel,Levée,5.91,5.93,0
OBS000068,P0246,2024-10-06 08:11:24,18.0,80.6,0.5,0.5564,Station_Sol,Maturation,3.3,3.82,0
OBS000069,P0386,2025-05-17 06:55:20,20.7,79.9,10.4,0.7684,Satellite,Tallage,6.71,8.79,0
OBS000070,P0308,2024-04-01 18:04:35,12.0,53.2,19.8,0.7268,Station_Sol,Levée,0.99,2.87,1
OBS000071,P0176,2025-08-28 07:16:40,22.4,69.0,11.6,0.4636,Drone,Floraison,3.09,2.46,0
OBS000072,P0072,2024-12-28 11:43:43,5.2,87.6,10.4,0.7014,Drone,Maturation,3.96,2.87,0
OBS000073,P0478,2025-10-03 19:34:21,19.4,113.5,4.0,0.4718,Station_Sol,Maturation,9.67,7.31,0
OBS000074,P0322,2025-07-15 08:30:27,22.5,51.6,10.2,0.427,Manuel,Tallage,,8.19,0
OBS000075,P0173,2024-12-09 14:27:15,3.6,68.2,10.9,0.6821,Manuel,Maturation,6.41,6.63,0
OBS000076,P0499,2024-12-02 20:07:06,-0.9,35.2,13.2,0.444,Station_Sol,Récolte,3.38,2.83,0
OBS000077,P0379,2025-03-29 17:01:34,4.4,65.5,1.5,0.8189,Station_Sol,Semis,7.42,9.4,0
OBS000078,P0161,2025-02-25 17:17:15,10.5,73.7,0.1,0.3127,Drone,Levée,6.78,8.12,0
OBS000079,P0131,2025-02-20 12:17:23,5.8,46.7,0.3,0.3984,Station_Sol,Semis,3.55,4.15,0
OBS000080,P0131,2025-06-07 09:18:09,22.3,40.5,10.2,0.4091,Station_Sol,Floraison,2.95,3.93,0
OBS000081,P0414,2024-09-17 07:04:49,31.2,24.0,9.7,0.3352,Satellite,Floraison,6.34,7.13,1
OBS000082,P0401,2024-12-11 19:15:29,2.2,39.0,-5.4,0.5449,Station_Sol,Récolte,7.35,7.14,0
OBS000083,P0403,2025-10-13 17:48:16,11.1,47.4,2.4,0.5331,Drone,Récolte,10.35,9.19,0
OBS000084,P0385,2024-07-29 19:55:37,31.1,36.0,4.4,0.8471,Drone,Floraison,2.97,3.94,0
OBS000085,P0052,2024-12-28 16:03:22,7.4,56.3,18.1,0.5185,Satellite,Maturation,,4.16,0
OBS000086,P0288,2024-12-02 06:01:32,6.9,62.6,0.3,0.5718,Drone,Maturation,3.6,3.5,0
OBS000087,P0496,2024-08-05 17:21:42,21.4,46.8,1.7,0.3824,Drone,Floraison,7.17,6.36,0
OBS000088,P0131,2024-10-02 05:04:10,17.1,93.9,0.6,0.6824,Manuel,Récolte,2.99,2.52,0
OBS000089,P0417,2025-02-02 15:33:09,2.7,81.7,3.8,0.4864,Manuel,Levée,9.5,9.12,0
OBS000090,P0422,2024-07-30 12:54:50,23.8,67.5,3.6,0.4007,Drone,Tallage,7.53,6.48,0
OBS000091,P0222,2024-08-05 18:30:01,26.1,90.7,3.7,0.7988,Satellite,Maturation,10.91,9.17,0
OBS000092,P0378,2024-03-09 09:34:27,10.7,94.5,,0.9099,Drone,Levée,4.52,6.22,0
OBS000093,P0052,2024-04-09 07:02:39,16.2,52.5,1.0,0.2052,Station_Sol,Tallage,2.52,3.94,1
OBS000094,P0356,2025-06-28 19:22:32,18.4,82.7,1.6,0.3228,Satellite,Tallage,7.79,6.56,0
OBS000095,P0145,2025-02-04 15:37:15,8.4,68.1,1.6,0.397,Satellite,Semis,9.04,7.66,0
OBS000096,P0417,2025-07-23 19:42:25,23.2,77.4,9.3,0.8389,Satellite,Floraison,8.93,9.28,0
OBS000097,P0453,2024-07-22 12:32:38,25.9,35.6,6.4,0.7784,Manuel,Tallage,3.15,3.06,0
OBS000098,P0259,2024-12-06 17:56:33,-0.1,83.0,5.3,0.3276,Satellite,Récolte,3.2,3.37,0
OBS000099,P0214,2025-06-18 12:59:20,24.2,84.0,3.3,,Satellite,Tallage,5.82,5.58,0
OBS000100,P0491,2024-05-17 13:34:52,19.9,81.0,7.3,0.6311,Station_Sol,Levée,9.42,6.88,0
OBS000101,P0091,2025-09-10 11:00:43,23.1,90.9,2.3,0.5644,Station_Sol,Maturation,9.44,7.27,0
OBS000102,P0281,2024-05-10 07:09:55,21.5,80.5,9.7,0.8178,Station_Sol,Levée,8.01,7.6,0
OBS000103,P0048,2025-02-25 10:24:51,2.3,93.2,1.2,0.7275,Satellite,Levée,9.09,7.64,0
OBS000104,P0414,2025-08-07 17:13:10,21.9,94.6,16.3,0.5401,Station_Sol,Floraison,5.41,7.75,0
OBS000105,P0009,2025-03-17 15:26:47,13.6,70.7,1.0,0.7501,Satellite,Semis,8.12,7.52,0
OBS000106,P0218,2024-12-26 06:54:06,13.8,59.7,71.6,0.5032,Station_Sol,Maturation,4.24,4.12,1
OBS000107,P0186,2024-06-25 08:16:49,23.3,85.5,13.1,0.658,Station_Sol,Floraison,6.57,6.87,0
OBS000108,P0052,2025-04-18 06:19:58,13.9,35.2,11.1,0.3985,Manuel,Levée,2.8,3.23,0
OBS000109,P0333,2025-10-04 08:40:51,28.7,35.3,10.0,0.0922,Station_Sol,Maturation,0.64,3.01,1
OBS000110,P0297,2024-12-20 13:15:39,3.5,93.7,1.9,0.6973,Satellite,Maturation,2.53,4.33,0
OBS000111,P0375,2024-05-13 17:08:13,60.3,59.8,1.1,0.5286,Manuel,Tallage,9.97,8.99,0
OBS000112,P0228,2024-09-23 09:13:24,18.2,50.1,10.1,0.6251,Satellite,Floraison,5.88,7.01,0
OBS000113,P0144,2024-08-29 18:49:00,22.6,86.8,2.1,0.3828,Station_Sol,Maturation,7.75,6.12,0
OBS000114,P0283,2025-08-04 09:07:17,24.4,36.2,1.8,0.7698,Station_Sol,Floraison,3.22,3.23,0
OBS000115,P0002,2024-07-31 05:20:49,28.0,80.8,5.9,0.8956,Station_Sol,Floraison,5.9,6.0,0
OBS000116,P0101,2024-11-06 15:02:54,6.9,39.6,3.5,0.6317,Station_Sol,Maturation,4.5,3.81,0
OBS000117,P0226,2024-07-17 12:47:13,28.7,88.4,17.1,0.4552,Station_Sol,Tallage,6.68,5.75,0
OBS000118,P0278,2024-08-19 05:59:53,26.0,69.5,,0.7671,Station_Sol,Floraison,1.9,2.35,0
OBS000119,P0322,2025-10-07 05:42:17,15.8,52.7,6.4,0.7489,Drone,Récolte,7.19,7.59,0
OBS000120,P0353,2024-05-04 10:30:24,19.1,11.6,4.9,0.8779,Manuel,Tallage,5.39,8.85,1
OBS000121,P0273,2025-10-02 11:28:27,12.4,85.1,9.9,0.6605,Station_Sol,Maturation,2.09,3.13,0
OBS000122,P0359,2025-08-29 08:35:30,25.4,82.9,13.0,0.6342,Satellite,Floraison,5.4,5.85,0
OBS000123,P0070,2024-08-30 06:27:31,25.8,39.3,8.9,0.4713,Station_Sol,Floraison,1.77,3.2,0
OBS000124,P0014,2024-03-25 05:05:20,14.0,61.3,0.4,0.316,Satellite,Levée,9.93,9.37,0
OBS000125,P0407,2025-07-30 14:48:18,22.8,89.6,9.6,0.4948,Drone,Floraison,2.54,3.11,0
OBS000126,P0026,2024-03-03 13:56:15,9.6,42.4,4.8,0.3304,Satellite,Semis,8.33,8.6,0
OBS000127,P0022,2025-09-17 06:40:30,16.1,73.2,54.5,0.1283,Station_Sol,Floraison,2.86,2.25,1
OBS000128,P0134,2024-11-20 10:35:30,4.3,51.1,8.0,0.4059,Station_Sol,Récolte,2.78,4.09,0
OBS000129,P0125,2025-05-04 09:23:46,16.1,84.3,3.3,0.7697,Manuel,Levée,4.11,4.31,0
OBS000130,P0370,2025-03-13 15:34:43,9.4,82.5,21.5,0.3139,Satellite,Semis,2.58,1.76,0
OBS000131,P0257,2025-08-14 10:53:17,25.5,76.2,1.8,0.7743,Drone,Maturation,3.08,2.34,0
OBS000132,P0063,2025-04-09 12:51:09,10.8,37.9,0.6,0.3835,Station_Sol,Levée,3.3,3.66,0
OBS000133,P0018,2024-05-18 07:58:48,16.6,59.4,14.8,,Satellite,Levée,1.79,2.94,0
OBS000134,P0055,2025-02-06 18:07:35,5.1,50.8,0.8,0.3019,Station_Sol,Semis,3.73,3.99,0
OBS000135,P0178,2024-07-16 06:04:19,23.5,48.9,0.2,0.4207,Station_Sol,Tallage,6.38,5.5,0
OBS000136,P0259,2024-07-30 07:15:28,26.0,42.8,0.3,0.7911,Satellite,Floraison,3.2,2.64,0
OBS000137,P0381,2024-04-17 08:07:47,15.9,47.2,0.6,0.3955,Drone,Tallage,2.07,2.59,0
OBS000138,P0488,2024-08-27 11:16:57,21.9,64.1,1.0,0.4635,Station_Sol,Floraison,2.21,2.33,0
OBS000139,P0284,2024-03-06 19:49:12,14.2,47.7,0.9,0.7285,Satellite,Semis,3.24,2.07,0
OBS000140,P0298,2024-05-06 14:18:36,,70.0,8.2,0.7753,Station_Sol,Tallage,8.21,7.85,0
OBS000141,P0389,2025-06-11 07:56:33,18.2,49.9,0.1,0.6836,Manuel,Tallage,9.26,8.24,0
OBS000142,P0414,2024-10-15 14:49:09,17.6,72.3,1.1,0.559,Manuel,Récolte,6.22,6.0,0
OBS000143,P0117,2025-08-15 12:20:42,21.3,74.4,11.4,1.6481,Drone,Floraison,4.34,3.01,0
OBS000144,P0016,2025-09-14 09:25:37,18.7,68.0,6.6,0.6483,Station_Sol,Floraison,3.89,3.7,0
OBS000145,P0271,2025-01-16 15:59:48,4.5,70.3,2.1,0.8162,Satellite,Maturation,,7.2,0
OBS000146,P0308,2025-04-05 17:04:03,22.6,84.4,0.4,0.3454,Station_Sol,Levée,3.04,1.98,1
OBS000147,P0268,2024-09-17 19:41:26,18.5,70.9,19.1,0.773,Drone,Floraison,3.17,3.2,0
OBS000148,P0285,2024-06-03 20:46:40,25.8,81.7,7.5,0.423,Drone,Tallage,4.45,3.43,0
OBS000149,P0161,2025-03-02 10:12:22,13.0,89.5,1.2,0.5616,Station_Sol,Levée,8.98,8.75,0
OBS000150,P0294,2025-02-17 17:07:12,4.3,86.9,3.4,0.3586,Satellite,Semis,7.41,9.38,0
OBS000151,P0129,2024-06-13 17:30:34,21.1,11.4,1.3,0.5603,Station_Sol,Floraison,2.95,5.73,1
OBS000152,P0311,2025-05-23 12:48:27,18.1,94.8,5.7,0.6056,Station_Sol,Tallage,7.54,6.25,0
OBS000153,P0061,2025-06-08 20:44:03,17.7,56.9,,0.8212,Satellite,Floraison,7.16,9.49,0
OBS000154,P0202,2025-03-10 05:49:21,9.6,81.2,1.0,0.7681,Manuel,Levée,8.06,8.15,0
OBS000155,P0278,2024-12-21 05:10:08,8.0,67.5,7.8,0.3806,Manuel,Récolte,2.66,2.64,0
OBS000156,P0284,2024-05-07 07:18:22,20.5,56.4,3.4,0.7768,Station_Sol,Levée,2.43,1.47,0
OBS000157,P0195,2024-05-19 07:46:40,14.3,61.2,12.1,0.4216,Manuel,Levée,2.55,2.53,0
OBS000158,P0349,2025-08-19 05:25:41,27.3,56.6,6.4,0.319,Satellite,Maturation,6.04,7.63,0
OBS000159,P0383,2025-02-14 16:17:16,3.7,46.1,7.7,0.7895,Station_Sol,Semis,6.13,7.67,0
OBS000160,P0492,2025-10-08 08:21:25,12.3,64.0,1.2,0.6653,Manuel,Maturation,2.66,3.04,0
OBS000161,P0352,2025-03-14 08:14:55,7.8,50.8,2.6,0.7793,Satellite,Levée,4.9,6.3,0
OBS000162,P0322,2024-07-01 07:59:53,37.7,37.3,2.6,0.0714,Station_Sol,Floraison,2.76,7.33,1
OBS000163,P0050,2024-10-30 18:28:54,,44.0,2.2,0.7813,Satellite,Récolte,7.61,4.79,0
OBS000164,P0063,2025-10-27 20:35:03,16.8,68.5,14.7,0.866,Station_Sol,Récolte,3.13,3.52,0
OBS000165,P0396,2025-10-19 18:50:48,15.7,79.4,2.8,0.7939,Satellite,Récolte,5.83,8.01,0
OBS000166,P0491,2024-06-30 07:51:44,25.7,57.4,1.8,0.844,Manuel,Tallage,9.16,6.67,0
OBS000167,P0036,2024-09-30 05:20:21,15.6,52.1,3.2,0.3893,Manuel,Floraison,3.1,2.87,0
OBS000168,P0404,2025-05-26 14:41:26,,79.3,1.6,0.7993,Satellite,Levée,2.85,3.81,0
OBS000169,P0074,2024-03-08 14:39:05,10.8,68.2,3.5,0.0861,Drone,Levée,2.29,2.1,1
OBS000170,P0195,2024-08-06 06:20:09,22.5,89.0,3.3,0.5725,Satellite,Maturation,2.44,2.62,0
OBS000171,P0368,2024-10-09 10:53:59,17.2,45.3,12.8,0.3892,Manuel,Récolte,2.12,1.56,1
OBS000172,P0105,2025-01-22 14:17:26,0.0,44.7,0.1,0.6581,Manuel,Récolte,10.22,9.23,0
OBS000173,P0423,2025-10-18 19:00:11,17.0,70.8,8.5,0.8069,Satellite,Maturation,5.38,6.89,0
OBS000174,P0069,2025-03-09 17:46:50,2.8,80.7,7.7,0.8354,Drone,Semis,10.2,9.54,0
OBS000175,P0183,2024-09-06 12:40:34,16.9,81.1,2.4,0.8051,Manuel,Maturation,1.85,2.65,0
OBS000176,P0108,2025-10-06 07:01:49,12.5,55.9,4.3,0.4196,Station_Sol,Maturation,9.41,9.21,0
OBS000177,P0352,2025-10-29 20:05:38,13.9,47.4,8.0,0.7093,Satellite,Maturation,5.58,6.88,0
OBS000178,P0022,2024-07-02 06:28:08,30.0,46.9,0.3,0.5091,Station_Sol,Tallage,3.07,2.83,0
OBS000179,P0054,2024-08-01 14:11:06,20.2,69.6,3.1,,Station_Sol,Floraison,3.52,5.83,1
OBS000180,P0034,2024-03-02 11:45:42,4.4,81.6,1.0,0.6408,Station_Sol,Levée,3.14,2.53,0
OBS000181,P0483,2024-05-16 09:01:09,18.7,48.8,6.1,0.8977,Drone,Levée,1.94,2.89,0
OBS000182,P0484,2024-06-18 15:20:16,19.2,136.6,0.4,,Drone,Floraison,6.23,6.06,0
OBS000183,P0217,2025-01-10 07:23:28,-0.3,91.7,1.0,0.3017,Satellite,Maturation,7.07,5.86,0
OBS000184,P0014,2025-04-27 12:06:28,13.9,67.7,7.4,0.3189,Station_Sol,Tallage,8.8,9.05,0
OBS000185,P0232,2024-06-13 12:03:29,22.8,93.2,1.5,0.4219,Satellite,Floraison,2.55,2.04,0
OBS000186,P0219,2025-05-14 13:31:01,17.5,81.6,11.1,0.8198,Manuel,Tallage,6.73,8.48,0
OBS000187,P0426,2024-07-20 20:01:02,40.8,11.7,16.4,0.0972,Station_Sol,Tallage,8.4,7.19,1
OBS000188,P0363,2024-12-02 05:20:15,5.1,70.4,4.6,0.6281,Drone,Maturation,6.14,7.84,0
OBS000189,P0303,2025-05-24 08:52:26,15.5,52.2,2.1,0.4998,Satellite,Tallage,4.37,3.76,0
OBS000190,P0313,2025-05-31 05:04:45,22.3,38.1,12.4,0.8214,Station_Sol,Levée,3.84,2.48,0
OBS000191,P0133,2024-06-06 07:15:23,16.9,43.8,21.9,0.6881,Manuel,Tallage,3.03,1.91,0
OBS000192,P0497,2025-09-11 17:57:16,14.1,90.6,4.7,0.407,Station_Sol,Maturation,5.71,6.31,0
OBS000193,P0164,2025-06-28 07:53:53,21.1,91.0,11.3,0.7157,Station_Sol,Tallage,2.88,2.98,0
OBS000194,P0297,2025-07-02 06:17:02,27.1,60.6,1.9,0.8013,Station_Sol,Tallage,3.24,3.38,0
OBS000195,P0055,2025-06-15 17:11:18,21.3,49.9,0.2,0.3402,Satellite,Floraison,2.75,3.11,0
OBS000196,P0478,2025-02-28 12:52:40,1.1,67.1,6.3,0.4603,Drone,Levée,5.56,7.49,0
OBS000197,P0012,2024-05-04 07:19:04,18.2,71.0,13.8,0.4323,Station_Sol,Levée,11.6,8.2,0
OBS000198,P0023,2024-11-16 15:35:32,17.2,43.7,0.2,0.1634,Drone,Maturation,11.14,9.17,1
OBS000199,P0265,2024-07-08 13:38:34,25.5,35.2,1.0,0.5565,Station_Sol,Tallage,7.22,5.19,0
OBS000200,P0321,2025-03-21 13:34:27,5.3,58.7,17.8,0.8534,Satellite,Levée,11.59,9.05,0
OBS000201,P0064,2024-07-17 10:03:54,25.1,76.7,0.5,0.8162,Station_Sol,Floraison,8.0,8.33,0
OBS000202,P0065,2024-06-11 13:20:23,55.6,83.4,1.9,0.9192,Station_Sol,Floraison,10.3,9.42,0
OBS000203,P0286,2025-05-20 18:31:26,31.5,80.4,10.2,0.2063,Station_Sol,Levée,1.8,3.47,1
OBS000204,P0196,2024-07-12 10:49:26,29.1,55.8,17.9,0.3734,Satellite,Tallage,10.61,8.07,0
OBS000205,P0356,2025-06-29 14:25:08,24.7,77.5,23.9,0.6307,Station_Sol,Floraison,4.22,6.51,0
OBS000206,P0056,2025-06-29 17:30:45,19.9,87.9,15.2,0.3836,Station_Sol,Floraison,3.79,3.25,0
OBS000207,P0057,2024-08-16 06:13:33,25.8,76.8,5.1,0.8078,Satellite,Maturation,2.82,4.02,0
OBS000208,P0356,2024-10-25 15:56:16,17.2,60.8,7.0,0.422,Manuel,Maturation,4.9,7.33,0
OBS000209,P0147,2025-09-02 20:43:39,16.5,47.4,7.6,0.4188,Station_Sol,Maturation,7.15,6.37,0
OBS000210,P0007,2025-09-07 06:51:54,18.3,15.8,5.3,0.5052,Satellite,Maturation,,8.13,1
OBS000211,P0404,2024-06-15 07:45:55,17.3,55.7,16.6,0.565,Station_Sol,Tallage,4.3,3.29,0
OBS000212,P0318,2024-10-09 19:45:50,,83.0,6.0,0.6115,Station_Sol,Récolte,3.64,2.97,0
OBS000213,P0218,2025-10-22 09:56:56,17.4,41.3,2.0,0.8343,Manuel,Récolte,2.82,3.45,0
OBS000214,P0068,2024-09-25 12:37:28,26.5,65.0,19.2,0.6206,Station_Sol,Floraison,3.62,4.32,0
OBS000215,P0109,2024-08-19 09:07:02,,36.0,3.8,0.6149,Station_Sol,Maturation,6.96,8.12,0
OBS000216,P0097,2025-03-17 17:50:05,8.4,74.0,4.8,0.5611,Station_Sol,Semis,2.21,2.95,0
OBS000217,P0427,2024-06-09 06:00:12,19.0,35.2,2.7,0.8171,Satellite,Tallage,4.49,3.24,0
OBS000218,P0048,2024-05-15 05:57:41,15.3,88.5,0.0,0.5473,Station_Sol,Tallage,7.36,7.41,0
OBS000219,P0396,2025-09-27 11:27:26,19.9,72.3,10.2,0.646,Station_Sol,Floraison,9.73,7.19,0
OBS000220,P0315,2024-05-14 16:01:23,15.1,88.8,0.9,0.8463,Station_Sol,Tallage,3.2,1.87,0
OBS000221,P0447,2024-09-08 17:00:19,78.6,43.4,2.7,0.5856,Drone,Floraison,4.7,5.91,0
OBS000222,P0152,2025-03-30 10:50:04,9.2,45.6,5.9,0.8663,Satellite,Levée,3.97,8.17,1
OBS000223,P0178,2024-12-26 16:31:53,8.1,57.0,0.1,0.5476,Manuel,Récolte,7.62,6.69,0
OBS000224,P0236,2024-08-23 11:52:08,18.3,88.1,4.4,0.6204,Satellite,Maturation,2.11,2.48,0
OBS000225,P0070,2025-05-04 07:24:59,19.1,73.5,0.8,1.4314,Drone,Levée,2.74,2.51,0
OBS000226,P0162,2024-09-07 18:05:47,22.2,47.0,3.7,0.8933,Satellite,Floraison,7.83,6.69,0
OBS000227,P0160,2025-09-27 15:44:18,16.9,86.4,2.2,0.8185,Satellite,Floraison,2.87,3.43,0
OBS000228,P0160,2025-09-03 07:13:57,19.1,59.2,14.9,0.7902,Drone,Maturation,4.3,3.75,0
OBS000229,P0124,2025-02-09 09:26:33,4.9,50.1,71.3,0.2463,Manuel,Levée,0.55,1.96,1
OBS000230,P0172,2024-04-24 19:52:28,11.4,44.6,0.1,0.8594,Satellite,Levée,8.4,7.64,0
